Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4325999731,2018-02-06T00:00:00,1228.0,,,CA,,,CHEV,PA,SL,3316 77TH ST W,00551,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6461626.31353048,1811622.93315087
4293832900,2016-09-24T00:00:00,1015.0,,,CA,201704.0,,JEEP,PA,BK,1432 ABBOT KINNEY BLVD S,00309,51.0,80.56E1,WHITE ZONE,58.0,6420752.2,1819197.6
4309539463,2017-05-19T00:00:00,1445.0,EN33,,CA,201803.0,,FORD,PA,SL,4601 FIRMAMENT AV,00700,53.0,88.13B+,METER EXP.,63.0,6418835.325473,1878687.2447689997
4308647350,2017-05-17T00:00:00,130.0,,,FL,,,HYUN,PA,GY,2642 ELLENDALE PLACE,00500,55.0,80.58.1,CARSHARE PARKING,163.0,6474158.677978,1834207.2068029998
4255136782,2015-03-12T00:00:00,1143.0,ED139,,CA,201510.0,,GMC,TK,BN,805 CENTRAL AVE S,00686,56.0,88.13B+,METER EXP.,63.0,6485737.2,1782036.9
4292756182,2016-09-06T00:00:00,1233.0,,,CA,201708.0,,TOYT,PA,BK,6310 WILLOUGHBY AVE,00400,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6461383.9,1854247.2
4321000283,2017-11-21T00:00:00,1214.0,,,CA,201806.0,,TOYT,PA,TN,5351 ROSEWOOD AVE,00455,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6463300.857715,1851271.8208950001
4329782413,2018-04-02T00:00:00,1010.0,,,CA,201902.0,,TOYT,PA,BK,1225 FAIRFAX AVE,00143,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6450761.670425,1841928.6972279998
4343365714,2018-11-27T00:00:00,1214.0,,,CA,201911.0,,TOYT,PA,SL,1128 SWALL DR,00185,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6444844.294447,1843204.35737
4298117305,2016-12-08T00:00:00,1033.0,,,CA,201707.0,,HOND,PA,SL,738 MARIPOSA AVE S,00451,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6471122.117144,1853321.0046060001
4278228544,2016-03-21T00:00:00,943.0,,,CA,201512.0,,INFI,PA,BK,111 1/2 NEW HAMPSHIRE AVE N,00473,54.0,5204A-,DISPLAY OF TABS,25.0,99999.0,99999.0
4285491254,2016-06-16T00:00:00,1120.0,,,CA,3.0,,AUDI,PA,GY,1457 ARMACOST AVENUE,00185,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6422024.0,1838260.8
4335770250,2018-07-12T00:00:00,1253.0,,,CA,201807.0,,TOYT,PA,WT,1650 109TH ST E,00557,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
