Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4337400406,2018-08-23T00:00:00,1217,,,AZ,,,CHEV,PA,GY,1205 MCCLELLAN DR,154,51,80.69BS,NO PARK/STREET CLEAN,73,6419413.75,1838102.612
4252464860,2015-02-17T00:00:00,910,,,CA,201409,,JEEP,PA,BL,1300 CURSON AVE N,400,54,80.69BS,NO PARK/STREET CLEAN,73,6454186,1856929.5
4305666632,2017-04-10T00:00:00,1208,,945,CA,201709,,OTHR,VN,MR,1019 MAPLE AVE S,681,56,80.69C,PARKED OVER TIME LIMIT,58,6484644.789,1836348.901
4302254062,2017-01-19T00:00:00,1922,,,CA,201707,,TOYT,PA,WT,850 BROADWAY S,600,56,8.06E+02,WHITE ZONE,58,6489619.902,1845464.27
1117077846,2016-12-12T00:00:00,931,,,CA,201708,,TOYO,PA,SI,W/S 1500 N ST ANDREW,WIL,54,8.06E+06,GREEN ZONE,58,6467378.936,1858224.721
4263618284,2015-07-19T00:00:00,727,MD64,,CA,201606,,DODG,PA,BK,1001 BRITTANIA ST,611,56,88.03A,OUTSIDE LINES/METER,58,6498265.7,1842654.8
4341845642,2018-11-13T00:00:00,1227,,,CA,201906,,HOND,PA,BK,1044 COCHRAN AVE,178R1,51,80.69BS,NO PARK/STREET CLEAN,73,6455822.45,1843087.179
4308513882,2017-06-01T00:00:00,1539,SA230,,CA,201712,,TOYT,PA,GY,1501 SUNSET BL,642,56,88.13B+,METER EXP.,63,6484380.516,1850078.841
4284393890,2016-06-09T00:00:00,1243,,,CA,9,,JEEP,PA,RD,10900 BLK NORRIS AVE,342,53,80.69BS,NO PARK/STREET CLEAN,73,99999,99999
4321752960,2017-12-09T00:00:00,1450,WV38,,NJ,,,MNNI,PA,OT,1001 GAYLEY AV,401,51,88.13B+,METER EXP.,63,6425985.187,1845233.33
1115367492,2017-08-08T00:00:00,0,,,CA,201712,,FORD,TT,WH,161 E LANZIT AVE,18SL6,1,13,22500H,68,6479151.352,1797125.435
4330664063,2018-04-24T00:00:00,1024,ED519D,,CA,201811,,GRUM,TK,BN,1160 TOWNE AVE S,676,56,88.03A,OUTSIDE LINES/METER,58,6485742.215,1834417.533
4334973252,2018-06-25T00:00:00,137,,,CA,201807,,CADI,PA,WT,7225 HOBART BLVD S,101,55,80.69B,NO PARKING,73,6468329.699,1813188.943
4294158945,2016-11-04T00:00:00,1651,YO82,,CA,201706,,TOYT,PA,SL,1252 AVENUE 51 N,672,56,88.13B+,METER EXP.,63,6499631.14,1866235.205
4340166401,2018-09-28T00:00:00,1215,,,CA,201804,,HOND,PA,SL,1311 NEW HAMPSHIRE AVE N,444,54,80.69BS,NO PARK/STREET CLEAN,73,6472998.023,1857316.401
4304904310,2017-03-10T00:00:00,853,,,CA,201704,,HYUN,PA,SL,5900 YOLANDA AVE,372,53,80.69BS,NO PARK/STREET CLEAN,73,99999,99999
4302240633,2017-02-09T00:00:00,1556,SA128,,CA,201705,,TOYT,PA,GY,1163 LOGAN ST,609,56,88.13B+,METER EXP.,63,6483180.865,1850121.983
4335500234,2018-07-11T00:00:00,1233,,,CA,201809,,CHEV,PA,SL,757 MARIPOSA AVE S,454,54,80.69BS,NO PARK/STREET CLEAN,73,6471122.064,1853389.018
4316386465,2017-09-15T00:00:00,1922,,,CA,201803,,CHEV,PA,WT,2014 EAST 7TH STREET,600,56,80.56E4+,RED ZONE,93,6491623.802,1835048.503
4336895636,2018-07-24T00:00:00,108,52,,CA,201906,,PONT,PA,RD,1179 HI POINT ST,506A,51,80.58L,PREFERENTIAL PARKING,68,6450227.986,1842322.365
4297258490,2016-11-20T00:00:00,300,,,CA,201707,,NISS,PA,GY,7100 CRESCENT PARK,504,51,80.69B,NO PARKING,73,6432247.317,1811472.526
4316938345,2017-09-10T00:00:00,2252,64,,CA,,,JEEP,PA,GY,6710 SELMA AVE,402,54,80.58L,PREFERENTIAL PARKING,68,6459710.176,1858836.348
4261000586,2015-06-18T00:00:00,945,,840,CA,2,,TOYT,PA,WT,1307 ALVARADO ST S,601,56,80.69C,PARKED OVER TIME LIM,58,6476782.5,1839202.2
4347110213,2019-01-16T00:00:00,551,,,CA,201905,,VOLK,PA,BK,6551 GERALD AVE,310,53,22500E,BLOCKING DRIVEWAY,68,99999,99999
4252204342,2015-02-02T00:00:00,1649,,,CA,201503,,RROV,PA,BK,4319 MAIN ST S,542,55,80.69AP+,NO STOP/STANDING,93,6478627.5,1824426.6
4256332150,2015-03-28T00:00:00,1903,SG120,,CA,201504,,CHEV,PA,BK,7200 SUNSET BL,401,54,88.13B+,METER EXP.,63,99999,99999
4267657284,2015-10-03T00:00:00,142,,,CA,201609,,FORD,PA,SL,5068 HOLLYWOOD BLVD,402,54,80.69B,NO PARKING,73,6470892,1859549.6
4328288086,2018-03-17T00:00:00,325,,,CA,7,,CHEV,PA,GY,400 MAIN ST S,600,56,80.69BS,NO PARK/STREET CLEAN,73,6486784.981,1839987.141
4255643733,2015-04-13T00:00:00,256,,,CA,201502,,VOLV,PA,WT,3910 VIA MARISOL,602,56,5204A-,DISPLAY OF TABS,25,6505401,1856345
4313623495,2017-08-01T00:00:00,1231,,,CA,12,,TOYT,PA,BK,2121 THURMAN AVE,154,51,80.69BS,NO PARK/STREET CLEAN,73,6450747.048,1836635.888
4325383086,2018-02-05T00:00:00,1221,,1107,CA,201804,,HOND,PA,BK,4600 8TH ST W,476,54,80.69C,PARKED OVER TIME LIMIT,58,6461869.772,1844721.532
4344696145,2018-12-05T00:00:00,139,,,CA,201902,,NISS,PA,BK,685 LUCAS AVE,600,56,5200,DISPLAY OF PLATES,25,6481224.998,1841374.563
4272448051,2015-12-01T00:00:00,906,,,CA,201608,,ISU,PA,RD,6148 ORANGE ST,491,54,80.69BS,NO PARK/STREET CLEAN,73,99999,99999
4249553070,2015-02-07T00:00:00,715,,,CA,201508,,HOND,PA,RD,2051 FLORENCE AVE W,500,55,80.61,STANDNG IN ALLEY,68,6466114.8,1813284.7
4327882005,2018-03-08T00:00:00,909,VW1711,,CA,201805,,TOYT,PA,RD,1301 MENLO AV,539BH,55,88.13B+,METER EXP.,63,6473683.739,1839709.569
4288358045,2016-07-26T00:00:00,821,,,CA,6,,MERZ,PA,BK,5724 COLUMBUS AVE,369B,53,80.69BS,NO PARK/STREET CLEAN,73,6421325.6,1886293.5
4343352031,2018-11-02T00:00:00,829,,,CA,201905,,VOLK,PA,WT,802 HARVARD BLVD N,485,54,80.69BS,NO PARK/STREET CLEAN,73,6469538.72,1843499.383
4256260912,2015-03-31T00:00:00,1207,,,CA,201603,,BMW,PA,GY,1420 REXFORD DR,156,51,80.69BS,NO PARK/STREET CLEAN,73,6442246.2,1842476.5
4321235446,2017-11-24T00:00:00,1346,,,CA,201808,,TOYT,PA,RD,11301 PICO BLVD,315,51,22507.8A-,DISABLED PARKING/NO DP ID,363,6428758.807,1835482.151
4274364205,2015-12-31T00:00:00,828,,,CA,201603,,TOYT,PU,GN,730 BOYLE AVE,633,56,80.69BS,NO PARK/STREET CLEAN,73,6495321,1835904.8
4306517456,2017-04-13T00:00:00,1332,,,NH,201606,,HYUN,PA,GY,4151 SOMERSET DR,531,55,80.69BS,NO PARK/STREET CLEAN,73,6457880.266,1826350.9
4345211636,2019-01-09T00:00:00,857,,,CA,201911,,KIA,PA,SL,418 NORMANDIE AVE S,421,54,80.69BS,NO PARK/STREET CLEAN,73,6470694.656,1850868.654
4333894725,2018-07-03T00:00:00,808,,,NH,201803,,TOYT,PA,GY,1926 TAFT AVE,447,54,80.69BS,NO PARK/STREET CLEAN,73,99999,99999
4337063356,2018-08-24T00:00:00,1049,,,IN,,,TOYT,PA,BK,527 S COLYTON ST,600,56,80.69A+,STOP/STAND PROHIBIT,93,6490129.506,1837479.745
4338717202,2018-08-22T00:00:00,1232,,,CA,201903,,JAGU,PA,BK,1433 48TH ST W,544,55,80.69BS,NO PARK/STREET CLEAN,73,6470354.597,1822552.095
4256827923,2015-04-29T00:00:00,1328,,,CA,201502,,FORD,PA,GN,521 N HELIOTROPE DR,471,54,5204A-,DISPLAY OF TABS,25,99999,99999
4330811424,2018-05-07T00:00:00,2036,,,CA,201808,,CHEV,PA,WT,1776 NORTH SYCAMORE AVENUE,402A,54,22500H,DOUBLE PARKING,68,6457730.892,1860203.166
4315867986,2017-09-05T00:00:00,1124,,,CA,1,,OTHR,CM,BN,449 BROADWAY S,600,56,80.56E4+,RED ZONE,93,6485930.656,1840240.984
4274175544,2016-01-15T00:00:00,1518,SV113,,VA,201603,,TOYT,PA,TN,6501 SUNSET BL,483,54,88.13B+,METER EXP.,63,6461453.8,1858206.5
