Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4315175804,2017-09-01T00:00:00,1943.0,64,,CA,5.0,,CHEV,PA,BK,1355 SEWARD ST,00401,54.0,80.58L,PREFERENTIAL PARKING,68.0,6460789.45155579,1857327.42171221
4345223816,2018-12-24T00:00:00,1240.0,HPL795,,CA,201908.0,,KIA,PA,RD,123 AVE 57 N,00600,56.0,88.13B+,METER EXP.,63.0,6503241.9348800015,1862386.855972
4268864110,2015-12-03T00:00:00,1010.0,,,CA,201411.0,,OLDS,PA,RD,5538 BUFFALO AVE,00329,53.0,5204A-,DISPLAY OF TABS,25.0,6431554.7,1884896.3
4318433840,2017-10-18T00:00:00,844.0,,,CA,201704.0,,NISS,PA,GY,2160 CAMBRIDGE STREET,00500,55.0,5204A-,DISPLAY OF TABS,25.0,6469337.335653,1838729.4593990003
4266889874,2015-09-15T00:00:00,1018.0,,,CA,201602.0,,TOYT,PA,RD,15010 HARTLAND ST,00361,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6422435.9,1893767.4
4262090114,2015-07-07T00:00:00,1613.0,,,CA,201601.0,,MERZ,PA,SL,1147 VENICE BLVD,00141,56.0,80.69AP+,NO STOP/STANDING,93.0,6476798.3,1837784.0
4273334984,2015-12-30T00:00:00,1153.0,HO521,,CA,201611.0,,TOYT,PA,GY,1701 VINE ST,00485,54.0,88.13B+,METER EXP.,63.0,6462769.9,1859525.1
1110341212,2017-07-16T00:00:00,1545.0,,,CA,201702.0,,HOND,PA,GY,7700 VISTA DEL MAR,00001,1.0,4000A1,NO EVIDENCE OF REG,50.0,6426435.13284,1804812.006628
4287277492,2016-07-10T00:00:00,2253.0,,,CA,201701.0,,HOND,PA,BK,700 FIGUEROA ST S,00600,56.0,80.66.1D,RESTRICTED TAXI ZONE,68.0,6482952.6,1840456.8
4275743161,2016-02-08T00:00:00,1212.0,,,CA,201512.0,,BMW,PA,BK,837 BENTON WAY N,00445,54.0,5204A-,DISPLAY OF TABS,25.0,6479244.0,1851075.6
4277013020,2016-02-10T00:00:00,814.0,,,CA,201605.0,,PLYM,PA,RD,18445 VALERIO ST,00374,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6400001.0,1897327.8
4306835035,2017-04-11T00:00:00,814.0,,,CA,201801.0,,CHRY,PA,TN,212 RUTH AVE,00133,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6418416.761597,1823039.592288
4277682021,2016-03-01T00:00:00,1758.0,HO122,,CA,,,OTHR,MS,GY,1600 SCHRADER BL,00402,54.0,88.13B+,METER EXP.,63.0,6461015.7,1858853.6
4252135226,2015-03-13T00:00:00,1355.0,YO38,,CA,201502.0,,TOYT,PA,GY,5001 YORK BL,00720,56.0,88.13B+,METER EXP.,63.0,6499054.6,1866653.9
4336975344,2018-08-12T00:00:00,1820.0,,,CA,201801.0,,SUBA,PA,BK,2531 SILVER LAKE TER,403A,54.0,22500E,BLOCKING DRIVEWAY,68.0,99999.0,99999.0
4304452670,2017-03-06T00:00:00,1124.0,,,CA,201601.0,,AUDI,PA,BL,12310 VENICE BL,00164,51.0,5204A-,DISPLAY OF TABS,25.0,6430599.007456,1824165.0540009998
4330732442,2018-05-03T00:00:00,808.0,,,CA,201901.0,,DODG,TK,GY,425 ARDMORE AVE S,00400,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6470118.685653,1851106.43872
4253125984,2015-02-17T00:00:00,1255.0,,,CA,,,BMW,PA,BK,5955 8TH ST,107,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6452745.4,1844716.4
4309741855,2017-06-20T00:00:00,2247.0,,,CA,201706.0,,VOLK,PA,GY,1223 C ST W,00500,55.0,6344K2,NO PARKING BETWEEN POSTED HOURS,68.0,6477639.99956495,1739496.88298893
