realtime_start,date,value,realtime_end
2018-11-07,2002-01-01,49140,2018-11-07
2018-11-07,2002-02-01,47728,2018-11-07
2018-11-07,2002-03-01,46215,2018-11-07
2018-11-07,2002-04-01,46709,2018-11-07
2018-11-07,2002-05-01,45636,2018-11-07
2018-11-07,2002-06-01,44076,2018-11-07
2018-11-07,2002-07-01,43832,2018-11-07
2018-11-07,2002-08-01,43168,2018-11-07
2018-11-07,2002-09-01,42076,2018-11-07
2018-11-07,2002-10-01,41621,2018-11-07
2018-11-07,2002-11-01,41711,2018-11-07
2018-11-07,2002-12-01,40604,2018-11-07
2018-11-07,2003-01-01,39808,2018-11-07
2018-11-07,2003-02-01,38233,2018-11-07
2018-11-07,2003-03-01,37994,2018-11-07
2018-11-07,2003-04-01,37220,2018-11-07
2018-11-07,2003-05-01,37263,2018-11-07
2018-11-07,2003-06-01,38839,2018-11-07
2018-11-07,2003-07-01,39256,2018-11-07
2018-11-07,2003-08-01,39813,2018-11-07
2018-11-07,2003-09-01,40281,2018-11-07
2018-11-07,2003-10-01,42373,2018-11-07
2018-11-07,2003-11-01,41293,2018-11-07
2018-11-07,2003-12-01,40788,2018-11-07
2018-11-07,2004-01-01,39540,2018-11-07
2018-11-07,2004-02-01,41200,2018-11-07
2018-11-07,2004-03-01,42266,2018-11-07
2018-11-07,2004-04-01,41979,2018-11-07
2018-11-07,2004-05-01,42216,2018-11-07
2018-11-07,2004-06-01,41823,2018-11-07
2018-11-07,2004-07-01,43847,2018-11-07
2018-11-07,2004-08-01,42560,2018-11-07
2018-11-07,2004-09-01,42161,2018-11-07
2018-11-07,2004-10-01,42519,2018-11-07
2018-11-07,2004-11-01,43341,2018-11-07
2018-11-07,2004-12-01,44089,2018-11-07
2018-11-07,2005-01-01,46601,2018-11-07
2018-11-07,2005-02-01,47966,2018-11-07
2018-11-07,2005-03-01,46844,2018-11-07
2018-11-07,2005-04-01,47552,2018-11-07
2018-11-07,2005-05-01,46074,2018-11-07
2018-11-07,2005-06-01,45711,2018-11-07
2018-11-07,2005-07-01,43947,2018-11-07
2018-11-07,2005-08-01,43952,2018-11-07
2018-11-07,2005-09-01,45948,2018-11-07
2018-11-07,2005-10-01,45186,2018-11-07
2018-11-07,2005-11-01,44598,2018-11-07
2018-11-07,2005-12-01,45910,2018-11-07
2018-11-07,2006-01-01,46915,2018-11-07
2018-11-07,2006-02-01,49018,2018-11-07
2018-11-07,2006-03-01,49179,2018-11-07
2018-11-07,2006-04-01,52392,2018-11-07
2018-11-07,2006-05-01,53233,2018-11-07
2018-11-07,2006-06-01,54943,2018-11-07
2018-11-07,2006-07-01,56694,2018-11-07
2018-11-07,2006-08-01,57075,2018-11-07
2018-11-07,2006-09-01,56502,2018-11-07
2018-11-07,2006-10-01,56759,2018-11-07
2018-11-07,2006-11-01,57653,2018-11-07
2018-11-07,2006-12-01,59672,2018-11-07
2018-11-07,2007-01-01,61495,2018-11-07
2018-11-07,2007-02-01,60919,2018-11-07
2018-11-07,2007-03-01,64076,2018-11-07
2018-11-07,2007-04-01,61643,2018-11-07
2018-11-07,2007-05-01,64264,2018-11-07
2018-11-07,2007-06-01,64251,2018-11-07
2018-11-07,2007-07-01,64135,2018-11-07
2018-11-07,2007-08-01,67669,2018-11-07
2018-11-07,2007-09-01,67242,2018-11-07
2018-11-07,2007-10-01,69229,2018-11-07
2018-11-07,2007-11-01,69032,2018-11-07
2018-11-07,2007-12-01,68416,2018-11-07
2018-11-07,2008-01-01,69245,2018-11-07
2018-11-07,2008-02-01,69603,2018-11-07
2018-11-07,2008-03-01,68640,2018-11-07
2018-11-07,2008-04-01,69285,2018-11-07
2018-11-07,2008-05-01,67773,2018-11-07
2018-11-07,2008-06-01,68357,2018-11-07
2018-11-07,2008-07-01,68936,2018-11-07
2018-11-07,2008-08-01,68358,2018-11-07
2018-11-07,2008-09-01,69950,2018-11-07
2018-11-07,2008-10-01,68076,2018-11-07
2018-11-07,2008-11-01,67926,2018-11-07
2018-11-07,2008-12-01,64685,2018-11-07
2018-11-07,2009-01-01,62660,2018-11-07
2018-11-07,2009-02-01,59548,2018-11-07
2018-11-07,2009-03-01,57314,2018-11-07
2018-11-07,2009-04-01,55312,2018-11-07
2018-11-07,2009-05-01,55161,2018-11-07
2018-11-07,2009-06-01,53647,2018-11-07
2018-11-07,2009-07-01,52132,2018-11-07
2018-11-07,2009-08-01,49817,2018-11-07
2018-11-07,2009-09-01,45797,2018-11-07
2018-11-07,2009-10-01,45555,2018-11-07
2018-11-07,2009-11-01,44243,2018-11-07
2018-11-07,2009-12-01,43719,2018-11-07
2018-11-07,2010-01-01,41346,2018-11-07
2018-11-07,2010-02-01,41640,2018-11-07
2018-11-07,2010-03-01,39198,2018-11-07
2018-11-07,2010-04-01,39089,2018-11-07
2018-11-07,2010-05-01,37845,2018-11-07
2018-11-07,2010-06-01,37652,2018-11-07
2018-11-07,2010-07-01,35778,2018-11-07
2018-11-07,2010-08-01,36134,2018-11-07
2018-11-07,2010-09-01,38400,2018-11-07
2018-11-07,2010-10-01,36688,2018-11-07
2018-11-07,2010-11-01,35444,2018-11-07
2018-11-07,2010-12-01,35526,2018-11-07
2018-11-07,2011-01-01,34726,2018-11-07
2018-11-07,2011-02-01,34419,2018-11-07
2018-11-07,2011-03-01,34562,2018-11-07
2018-11-07,2011-04-01,34928,2018-11-07
2018-11-07,2011-05-01,35796,2018-11-07
2018-11-07,2011-06-01,36200,2018-11-07
2018-11-07,2011-07-01,35163,2018-11-07
2018-11-07,2011-08-01,36543,2018-11-07
2018-11-07,2011-09-01,37115,2018-11-07
2018-11-07,2011-10-01,35700,2018-11-07
2018-11-07,2011-11-01,38022,2018-11-07
2018-11-07,2011-12-01,38367,2018-11-07
2018-11-07,2012-01-01,37472,2018-11-07
2018-11-07,2012-02-01,38468,2018-11-07
2018-11-07,2012-03-01,38587,2018-11-07
2018-11-07,2012-04-01,37687,2018-11-07
2018-11-07,2012-05-01,37139,2018-11-07
2018-11-07,2012-06-01,37030,2018-11-07
2018-11-07,2012-07-01,37500,2018-11-07
2018-11-07,2012-08-01,38445,2018-11-07
2018-11-07,2012-09-01,38088,2018-11-07
2018-11-07,2012-10-01,38517,2018-11-07
2018-11-07,2012-11-01,37558,2018-11-07
2018-11-07,2012-12-01,37075,2018-11-07
2018-11-07,2013-01-01,37183,2018-11-07
2018-11-07,2013-02-01,36099,2018-11-07
2018-11-07,2013-03-01,35943,2018-11-07
2018-11-07,2013-04-01,35420,2018-11-07
2018-11-07,2013-05-01,35802,2018-11-07
2018-11-07,2013-06-01,36280,2018-11-07
2018-11-07,2013-07-01,37235,2018-11-07
2018-11-07,2013-08-01,37516,2018-11-07
2018-11-07,2013-09-01,38946,2018-11-07
2018-11-07,2013-10-01,40736,2018-11-07
2018-11-07,2013-11-01,41750,2018-11-07
2018-11-07,2013-12-01,42447,2018-11-07
2018-11-07,2014-01-01,43163,2018-11-07
